"filename", "language", "JSON", "HTML", "JSON with Comments", "TypeScript", "Markdown", "vue", "JavaScript", "Properties", "XML", "Batch", "CSS", "Java", "comment", "blank", "total"
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioAPI\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 16, 1, 20
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioAPI\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 26, 16, 150
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioAPI\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 4, 94
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioAPI\src\main\java\com\app\merrbioapi\MerrBioApiApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 5, 14
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioAPI\src\main\resources\application.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\.github\copilot-instructions.md", "Markdown", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\README.md", "Markdown", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 14, 34
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\User\Documents\Coding Projects\MerrBio\MerrBioClient\package-lock.json", "JSON", 3577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3578
